가울테리아,12938,Gaultheria procumbens,"Checkerberry, Eastern Teaberry, (Spreading) Wintergreen"
개운죽,12954,Dracaena sanderiana 'Virens',Sander's dracaena
골드크레스트 '윌마',12955,Cupressus macrocarpa 'Wilma',Monterey cypress
공작야자,12957,Caryota mitis,"Fish tail palm, Burmese Fishtail Palm, Clustered Fishtail Palm"
관엽베고니아,12962,Begonia  spp.,foliage begonia
관음죽,12963,Rhapis excelsa,"Fan Palms, (Large) Lady Palm, Bamboo Palm, Broad-leaved Lady Palm, Ground Rattan"
구문초,12966,Pelargonium rosium,rose geranium
구즈마니아,12972,Guzmania lingulata,Striped torch
군자란,12974,Clivia miniata,"Scarlet Caffir Lily,Kaffir Lily, Clivia, Bush lily"
글레코마,12988,Glecoma hederacea 'Variegata',"Ground ivy, Gill-over-the-ground"
금목서,12990,Osmanthus fragrans,"sweet Osmanthus, tea Osmanthus, sweet Olive"
금사철나무,12994,Euonymus japonica,goldheart euonymus
금식나무,12998,Aucuba japonica  var. variegata,"Spottedlaurel,Japanese Aucuba, Japanese Laurel, Variegated (Japanese) Laurel"
금전수,13186,Zamioculcas zamiifolia,"Eternity Plant, Fat Boy,Aroid Palm, Arum Fern, ZZ Plant"
금천죽,13196,Dracaena sanderiana,"Belgian Evergreen, Lucky Bamboo"
기누라,13199,Gynura aurantiaca,"Purple-Passion Vine,Purple Velvet Plant, Royal Velvet Plant"
꽃베고니아,13201,Begonia semperflorens,"Wax Begonias,Fibrous Begonia"
나도풍란,13202,Aerides japonica,The Japan Sedirea
나한송,13203,Podocarpus macrophyllus,"Buddhist Pine, Japanese(Southern) Yew, spreading yew,Yew Pine"
남천,13206,Nandina domestica,"Heavenly bamboo, Sacred Bamboo"
네마탄투스,13207,Nematanthus gregarius,"Goldfish Plant, Guppy Plant, Clog Plan"
네오레겔리아,13208,Neoregelia carolinae,Blushing Bromeliad
녹영,13210,Senecio rowleyanus,"String of Pearls,String-of-Beads"
뉴기니아봉선화,13218,Impatiens hybrid 'New Guinea',New Guinea impatiens
대만고무나무,13333,Ficus retusa,"Indian Laurel, Malay Banyan, Glossy Leaf Fig, Chinese Banyan"
더피고사리,13335,Nephrolepis cordifolia 'Duffii',Lemon Button Fern
덕구리난,13336,Beaucarnea recurvata (Nolina tuberculata),"Elephants Foot, Bottle Palm, Ponytail Palm"
데코라고무나무,13337,Ficus elastica var. decora,"Decora(Wideleaf ) Rubber plant, Rubber Plant"
덴파레,13338,Dendrobium phalaenopsis,Cocktown orchid
도깨비고비,13339,Cyrtomium falcatum,"Holly fern, Japanese Holly, Japanese Hollyfern,  Japanese Netvein Hollyfern"
돈나무,13340,Pittosporum tobira,"bottle ponytail, japanese laurel, japanese pittosporum"
동백,14663,Camellia japonica,common camellia
둥근잎 아랄리아,14674,Polyscias balfouriana,"false aralia, finger aralia, thread leaf false aralia"
듀란타,14675,Duranta reptans,"Golden - dewdrop, Pigeon berry, Skyflower, Brazilian skyflower"
드라세나  '송오브자마이카',14676,Dracaena reflexa 'Song of Jamaica',song of jamaica
드라세나  '와네끼',14687,Dracaena deremensis 'Warneckii',striped dracaena
드라세나 '송오브인디아',14694,Dracaena reflexa 'Song of India',song of India
드라세나 '자바',14696,Dracaena angustifolia 'Java',Dracaena angustifolia 'Java'
드라세나 '콤팩타',14697,Dracaena deremensis 'Virens Compacta',"calypso queen, dwarf bouquet, dracaena compacta"
드라세나 '트리컬러 레인보우',14698,Dracaena concinna 'Tricolor Rainbow',dracaena rainbow
드라세나 드라코,14688,Dracaena draco,dragon tree
